zip,merchant_state,merchant_city,latitude,longitude
20187,VA,Warrenton,38.7357041,-77.7385674
45773,OH,Reno,39.3765663,-81.3936236
34237,FL,Sarasota,27.3372869,-82.5181535
29583,SC,Pamplico,33.9655417,-79.5704433
87122,NM,Albuquerque,35.1814181,-106.5260226
45862,OH,Mendon,40.6809744,-84.5712387
48659,MI,Sterling,44.0433187,-84.0336456
42211,KY,Cadiz,36.8419121,-87.871124
90810,CA,Long Beach,33.8147394,-118.2208814
95409,CA,Santa Rosa,38.4590225,-122.6427422
03748,NH,Enfield,43.6085248,-72.1271392
97477,OR,Springfield,44.0629514,-123.0165469
26241,WV,Elkins,38.9229164,-79.8530213
29303,SC,Spartanburg,34.9868991,-81.9599746
32409,FL,Panama City,30.383157,-85.679029
43731,OH,Crooksville,39.7355533,-82.0770077
11704,NY,West Babylon,40.7156899,-73.3568679
19610,PA,Reading,40.3383943,-75.9722831
90712,CA,Lakewood,33.8513868,-118.1432702
54893,WI,Webster,45.8828512,-92.3020758
16621,PA,Broad Top,40.1986899,-78.1383074
13648,NY,Harrisville,44.1601821,-75.2984182
78380,TX,Robstown,27.8125429,-97.690748
53083,WI,Sheboygan,43.7880272,-87.7572709
93304,CA,Bakersfield,35.3436154,-119.0295645
60101,IL,Addison,41.9331969,-88.0075714
72206,AR,Little Rock,34.6670084,-92.2733312
44135,OH,Cleveland,41.4339694,-81.803866
85019,AZ,Phoenix,33.5139238,-112.1432418
04474,ME,Orrington,44.7257497,-68.7853073
33305,FL,Fort Lauderdale,26.1545114,-80.1267614
71007,LA,Bethany,32.3890047,-93.9741673
40390,KY,Wilmore,37.8600534,-84.6579757
30905,GA,Augusta,33.4075357,-82.1269131
68633,NE,Dodge,41.6466294,-96.7948547
93405,CA,San Luis Obispo,35.2698591,-120.6878302
63084,MO,Union,38.4418809,-91.0067988
98663,WA,Vancouver,45.6517858,-122.6621872
19119,PA,Philadelphia,40.0572615,-75.1883854
44632,OH,Hartville,40.954438,-81.3298217
54304,WI,Green Bay,44.4993853,-88.066434
82435,WY,Powell,44.7592759,-108.7709806
85250,AZ,Scottsdale,33.5241214,-111.8996901
28364,NC,Maxton,34.7230648,-79.3286055
51062,IA,Westfield,42.7023315,-96.5003537
13634,NY,Dexter,44.0058685,-76.0812875
68642,NE,Humphrey,41.7043695,-97.4977113
30092,GA,Norcross,33.966739,-84.2448215
18067,PA,Northampton,40.7099308,-75.4833789
39305,MS,Meridian,32.434367,-88.6915517
62946,IL,Harrisburg,37.7285376,-88.5342835
44460,OH,Salem,40.9003024,-80.8715672
36107,AL,Montgomery,32.3773197,-86.2780652
91406,CA,Van Nuys,34.2070752,-118.4901678
96021,CA,Corning,39.9221466,-122.1966105
46229,IN,Indianapolis,39.7906945,-85.9768973
30802,GA,Appling,33.6110033,-82.2864095
33778,FL,Largo,27.8764376,-82.7937229
05826,VT,Craftsbury,44.6371036,-72.3744082
24551,VA,Forest,37.3567892,-79.2967613
94015,CA,Daly City,37.6863511,-122.474275
64132,MO,Kansas City,38.9953554,-94.5496007
44030,OH,Conneaut,41.9353603,-80.5700547
20636,MD,Hollywood,38.3485073,-76.5637675
31303,GA,Clyo,32.4325705,-81.3277618
85040,AZ,Phoenix,33.4003111,-112.0312854
48205,MI,Detroit,42.4350931,-82.9706536
38109,TN,Memphis,35.0767922,-90.0699567
94521,CA,Concord,37.9590139,-121.9854605
78220,TX,San Antonio,29.4128638,-98.4153349
60006,IL,Arlington Heights,42.0811563,-87.9802164
70633,LA,Dequincy,30.4490336,-93.4184218
20180,VA,Lovettsville,39.2653108,-77.6381059
76534,TX,Holland,31.0555113,-97.4601102
58573,ND,Strasburg,46.1362313,-100.1618848
77234,TX,Houston,29.7589382,-95.3676974
52314,IA,Mount Vernon,41.9293729,-91.435152
47639,IN,Haubstadt,38.1805458,-87.5881767
86301,AZ,Prescott,34.5748175,-112.4628134
68017,NE,Ceresco,41.0432876,-96.600811
95621,CA,Citrus Heights,38.6987473,-121.3114906
07010,NJ,Cliffside Park,40.8199646,-73.9881317
28359,NC,Lumberton,34.5974621,-79.0057942
